rom,bpros.avg,bpros.stdev,bprost.avg,bprost.stdev,blob.min.avg,blob.min.stdev,blob.full.avg,blob.full.stdev
asterix,8194.3,1802.9,8928.8,1714.5,4400.8,1201.3,3996.6,743.9
beam rider,1686.9,255.2,1808.9,309.2,1902.3,423.9,2367.3,815.0
breakout,7.1,1.7,15.0,4.7,46.7,45.7,52.9,38.0
enduro,34.9,71.5,207.7,23.1,257.0,79.8,296.7,7.8
freeway,23.8,6.7,29.1,6.3,31.5,1.2,32.3,0.5
pong,10.9,5.2,18.9,1.3,20.1,0.5,20.2,0.4
qbert,3647.8,1273.3,3608.7,1129.0,6946.8,3036.4,8072.4,2210.5
seaquest,1366.1,445.9,1636.5,519.5,1664.2,440.4,1664.2,440.4
space invaders,505.1,130.4,582.9,139.0,723.1,101.5,844.8,144.9
alien,3169.5,616.8,4074.5,533.7,4154.8,532.5,4154.8,532.5
amidar,337.9,77.8,308.2,121.3,486.7,195.4,408.4,177.5
assault,1329.4,215.3,1485.9,416.9,1356.0,299.6,1107.9,207.7
asteroids,1145.7,139.9,1306.7,198.6,1673.5,211.1,1759.5,182.1
atlantis,33465.9,13879.0,19195.9,15223.3,19347.2,10478.5,37428.5,11599.7
bank heist,227.7,127.8,332.5,53.1,463.4,93.6,463.4,93.6
battle zone,22794.8,4643.4,25321.8,5063.5,26222.8,4070.0,26222.8,4070.0
bowling,36.5,10.6,48.0,20.0,59.1,18.6,65.9,14.2
boxing,27.2,30.1,26.1,25.6,89.4,16.5,89.4,16.5
carnival,na,na,na,na,na,na,4322.0,3705.0
centipede,18871.4,2624.9,2579.9,4848.7,3903.3,6838.8,3903.3,6838.8
chopper command,3884.9,872.5,4072.3,931.0,3006.6,782.0,3006.6,782.0
crazy climber,24763.4,8080.5,34486.7,13056.1,59514.3,13721.0,73241.5,10467.9
demon attack,2085.4,532.5,2441.9,571.9,1745.8,256.0,1441.8,184.8
double dunk,-5.5,3.0,5.9,13.3,-6.4,0.9,-6.4,0.9
fishing derby,-86.5,5.5,-82.8,6.2,-58.8,12.0,-58.8,12.0
frostbite,1974.9,1046.3,2382.9,1182.8,3389.7,743.6,3389.7,743.6
gopher,3784.7,670.7,5272.4,1077.0,5076.6,1235.1,6823.4,1022.5
gravitar,778.2,191.8,788.7,350.7,1231.8,423.4,1231.8,423.4
hero,9572.1,4160.2,13552.5,1867.4,13690.3,4291.2,13690.3,4291.2
ice hockey,2.1,1.7,7.3,2.3,14.5,3.4,14.5,3.4
james bond,378.0,128.9,373.5,158.3,636.3,191.8,636.3,191.8
kangaroo,4946.0,2694.3,5898.4,3166.3,3800.3,2211.0,3800.3,2211.0
krull,5247.1,957.4,5973.8,904.6,8333.9,5599.5,8333.9,5599.5
kung fu master,34025.7,5994.3,35173.0,6190.8,34075.6,7716.7,33868.5,6247.5
montezuma revenge,300.3,155.7,345.8,433.6,778.1,789.8,778.1,789.8
ms pacman,4402.9,905.4,5544.1,727.9,4625.6,774.3,4625.6,774.3
name this game,5697.7,809.7,6593.1,750.9,5883.7,1542.1,6580.1,1773.0
pooyan,na,na,na,na,na,na,2228.1,274.5
private eye,106.3,42.9,502.7,1842.1,33.0,47.6,33.0,47.6
riverraid,9171.4,973.6,9928.8,1443.6,10629.1,2110.5,10629.1,2110.5
road runner,25342.7,4168.4,32282.9,5707.8,24558.3,12369.2,24558.3,12369.2
robotank,21.4,1.3,22.6,2.4,28.3,2.7,28.3,2.7
skiing,na,na,na,na,na,na,-29842.6,19.8
star gunner,1355.3,343.8,1020.1,304.8,1227.7,165.1,1227.7,165.1
tennis,-0.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0
time pilot,2501.2,943.4,2154.6,875.4,3933.1,713.9,3972.0,878.3
tutankham,110.3,40.8,90.0,52.4,61.2,61.3,81.4,50.5
up n down,6140.4,5418.7,7888.2,5950.1,12197.0,14027.3,19533.0,18733.6
venture,97.3,223.7,182.1,370.1,244.5,490.4,244.5,490.4
video pinball,14239.4,4314.0,19358.3,3006.2,10006.3,5860.8,9783.9,3043.9
wizard of wor,2500.8,754.7,2893.6,842.6,3174.8,1227.9,2733.6,1259.0
zaxxon,10993.8,2118.2,11599.8,2660.7,8204.4,2845.3,8204.4,2845.3
