rom,iw.score,iw.time,bfs2.score,bfs2.time,bfrs.score,uct.score
alien,25634,81,12252,81,784,7785
amidar,1377,28,1090,37,5,180
assault,953,18,827,25,414,1512
asterix,153400,24,77200,27,2136,290700
asteroids,51338,66,22168,65,3127,4661
atlantis,159420,13,154180,71,30460,193858
bank heist,717,39,362,64,22,498
battle zone,11600,86,330800,87,6313,70333
beam rider,9108,23,9298,29,694,6625
berzerk,2096,58,802,73,195,554
bowling,69,10,50,60,26,25
boxing,100,15,100,22,100,100
breakout,384,4,772,39,1,364
carnival,6372,16,5516,53,950,5132
centipede,99207,39,94236,67,125123,110422
chopper command,10980,76,27220,73,1827,34019
crazy climber,36160,4,36940,58,37110,98172
demon attack,20116,33,16025,41,443,28159
double dunk,-14,41,21,41,-19,24
elevator action,13480,26,10820,27,730,18100
enduro,500,66,359,38,1,286
fishing derby,30,39,6,62,-92,38
freeway,31,32,23,61,0,0
frostbite,902,12,2672,38,137,271
gopher,18256,19,15808,53,1019,20560
gravitar,3920,62,5980,62,395,2850
hero,12985,37,11524,69,1324,12860
ice hockey,55,89,49,89,-9,39
james bond,23070,0,10080,30,25,330
journey escape,40080,38,40600,67,1327,7683
kangaroo,8760,8,5320,31,90,1990
krull,6030,28,4884,42,3089,5037
kung fu master,63780,21,42180,43,12127,48855
montezuma revenge,0,14,540,39,0,0
ms pacman,21695,21,18927,23,1709,22336
name this game,9354,14,8304,25,5699,15410
pong,21,17,21,35,-21,21
pooyan,11225,8,10760,16,910,17763
private eye,-99,18,2544,44,58,100
qbert,3705,11,11680,35,133,17343
riverraid,5694,18,5062,37,2179,4449
road runner,94940,25,68500,41,245,38725
robotank,68,34,52,34,2,50
seaquest,14272,25,6138,33,288,5132
space invaders,2877,21,3974,34,112,2718
star gunner,1540,19,4660,18,1345,1207
tennis,24,21,24,36,-24,3
time pilot,35000,9,36180,29,4064,63855
tutankham,172,15,204,34,64,226
up n down,110036,12,54820,14,746,74474
venture,1200,22,980,35,0,0
video pinball,388712,43,62075,43,55567,254748
wizard of wor,121060,25,81500,27,3309,105500
zaxxon,29240,34,15680,31,0,22610
