rom,ram.score,ram.steps,ram.time,ram.expanded,ram.depth.max,ram.random,ram.generated
alien,7560,1082,30,1522,168,1,17774
amidar,1879,2580,11,1710,217,387,6304
assault,1143,941,4,2304,153,1,4764
asterix,137500,3600,12,2253,171,0,12494
asteroids,35450,3600,28,2445,140,0,22377
atlantis,104300,2843,1,2939,138,1,613
bank heist,440,623,20,1301,174,1,15819
battle zone,2000,756,132,5900,16,120,29960
beam rider,11460,3600,7,1322,185,0,5158
berzerk,1860,675,26,1408,90,1,18010
breakout,415,1628,1,3000,78,1,490
bowling,53,1686,2,2181,239,1,1175
carnival,5500,385,4,2090,202,1,3043
centipede,104303,3600,20,1170,232,0,15572
chopper command,8100,965,49,2200,109,1,27290
crazy climber,34100,3600,1,1354,57,44,858
demon attack,19385,3600,6,2447,200,0,5333
double dunk,0,100,65,2606,44,100,29700
elevator action,13000,3600,15,739,260,41,9930
enduro,200,3600,26,2115,56,2820,15484
fishing derby,49,1285,27,1331,270,2,12168
freeway,34,1639,3,1904,238,1,1295
frostbite,3950,3600,7,988,237,0,4068
gopher,16860,3600,5,1629,158,0,4122
gravitar,5300,668,38,2623,60,14,22302
hero,13535,880,30,1046,174,1,13274
ice hockey,2,91,33,1153,142,3,16285
james bond 007,21550,2926,25,1735,122,1,19692
journey escape,-600,65,52,2006,250,63,17988
kangaroo,0,442,8,300,4,442,4786
krull,5150,964,31,1536,147,1,19469
kung fu master,61300,3600,16,1442,234,0,9838
montezuma revenge,0,329,20,1418,197,329,11447
ms pacman,23421,3600,8,1894,202,0,6080
octopus,8980,3600,5,2129,248,0,2972
pooyan,10235,3600,2,1839,154,0,1214
private eye,100,2158,21,1532,243,156,11676
qbert,825,337,1,2523,180,1,883
riverraid,6990,1187,21,1055,168,1,10886
road runner,62200,1777,26,1624,148,1,16612
robotank,63,2909,64,2160,189,0,29507
seaquest,16720,3600,18,1124,203,0,14796
skiing,-524,63,5,5614,258,2,2713
space invaders,2545,1473,5,2884,114,1,3864
star gunner,1700,303,13,1143,30,1,12572
tennis,1,41,24,1134,249,7,10745
time pilot,30700,3009,4,883,139,1,2902
tutankham,251,1942,8,1771,170,2,6091
up n down,82980,3600,27,3707,226,0,10560
venture,0,2052,22,873,1,2052,15701
video pinball,62407,1268,19,2875,83,1,10588
wizard of wor,116700,3600,16,2086,220,0,13876
zaxxon,30700,3407,35,1517,153,1074,23941
